group,variable,value
4,12,57.73262442
5,12,58.94392416
6,12,61.13944388
7,12,61.30082472
8,12,60.24251113
9,12,63.4625652
10,12,60.63719899
11,12,61.67984111
12,12,63.2613925
13,12,63.53754674
14,12,63.38080318
15,12,66.51630911
16,12,65.92915356
17,12,66.18296205
18,12,66.04662354
19,12,62.15431802
20,12,61.66902383
21,12,62.31336487
22,12,61.42686997
23,12,60.39340808
0,13,60.89476197
1,13,61.83669968
2,13,62.36070307
3,13,62.50925679
4,13,64.11884738
5,13,67.75544978
6,13,70.11600388
7,13,69.21454253
8,13,69.20073904
9,13,70.71040233
10,13,71.97205268
11,13,73.55472923
12,13,65.54611003
13,13,66.96837209
14,13,68.02155732
15,13,66.7367308
16,13,65.44145682
17,13,66.33130319
18,13,68.20656076
19,13,63.77640541
20,13,68.22047681
21,13,64.94359681
22,13,63.14947449
23,13,64.55043193
0,14,73.36784956
1,14,68.45128087
2,14,64.37588409
3,14,62.99933
4,14,62.92185658
5,14,65.03446273
6,14,66.26407657
7,14,66.66697522
8,14,65.6493993
9,14,64.95861083
10,14,64.95082073
11,14,65.57852649
12,14,68.02336247
13,14,63.26890814
14,14,64.20219491
15,14,64.93383256
16,14,66.03519744
17,14,68.35641865
18,14,68.99396009
19,14,64.29475882
20,14,64.16864223
21,14,66.28394889
22,14,62.72122822
23,14,60.9848263
0,15,60.10096037
1,15,63.77551955
2,15,60.0825881
3,15,61.93582262
4,15,62.14433052
5,15,65.18592672
6,15,67.29610332
7,15,66.41535139
8,15,66.13939276
9,15,66.39960892
10,15,63.79136665
11,15,64.13654416
12,15,63.45437866
13,15,66.001039
14,15,66.04020102
15,15,62.8910341
16,15,67.07541023
17,15,62.6241213
18,15,65.19911106
19,15,62.56262117
20,15,61.33257523
21,15,61.23296384
22,15,62.53954955
23,15,64.48251362
0,16,62.38853958
1,16,59.74547646
2,16,60.6173713
3,16,61.41554176
4,16,61.92035144
5,16,64.99101767
6,16,66.60924117
7,16,66.40859167
8,16,65.39917159
9,16,65.55488409
10,16,63.46573095
11,16,63.79487694
12,16,63.64977046
13,16,63.41274024
14,16,71.42285815
15,16,66.42915745
16,16,63.5244891
17,16,62.93964609
18,16,62.57353684
19,16,67.18102636
20,16,66.31104279
21,16,61.18396058
22,16,63.07313079
23,16,62.46583941
0,17,60.29446679
1,17,64.98187314
2,17,61.99052883
3,17,63.81149108
4,17,61.80094305
5,17,64.81924476
6,17,68.13329157
7,17,66.82996594
8,17,65.69043469
9,17,63.75634774
10,17,63.47586465
11,17,64.47100933
12,17,64.02934188
13,17,64.39554736
14,17,63.3037394
15,17,63.2026077
16,17,67.59958394
17,17,64.80112238
18,17,63.71779144
19,17,65.21888841
20,17,65.44328883
21,17,61.3337493
22,17,63.81717653
23,17,61.99527297
0,18,62.35964691
1,18,64.30220617
2,18,60.2054107
3,18,63.31092173
4,18,62.47407234
5,18,63.60562214
6,18,65.09518888
7,18,68.30676004
8,18,64.92602656
9,18,64.07177848
10,18,63.94659262
11,18,64.31205532
12,18,65.10766155
13,18,63.45808228
14,18,63.76502216
15,18,63.48386414
16,18,63.60245885
17,18,65.26608698
18,18,63.94439201
19,18,62.38120871
20,18,62.10392304
21,18,61.98765267
22,18,60.73738377
23,18,61.12050627
0,19,60.19634142
1,19,58.89300497
2,19,57.52388282
3,19,60.24161363
4,19,58.24118455
5,19,60.0757302
6,19,61.55067633
7,19,61.86407782
8,19,61.90149747
9,19,67.46838619
10,19,61.37115004
11,19,63.47348536
12,19,62.46905367
13,19,64.40437315
14,19,64.59972279
15,19,63.74596675
16,19,65.43323261
17,19,64.01054634
18,19,62.75359637
19,19,64.22791796
20,19,64.10497211
21,19,63.4761496
22,19,63.18436481
23,19,60.48867298
0,20,60.84530333
1,20,60.08905172
2,20,60.85705315
3,20,62.58569021
4,20,64.25645136
5,20,66.65768849
6,20,67.15382232
7,20,66.65018609
8,20,68.81218122
9,20,65.47672544
10,20,67.7269852
11,20,65.72671088
12,20,65.2058559
13,20,66.75045741
14,20,64.32284556
15,20,63.61987486
16,20,63.39243458
17,20,63.15163168
18,20,62.76912943
19,20,62.98293277
20,20,61.32595069
21,20,62.21381778
22,20,62.14185941
23,20,61.25254431
0,21,61.62301541
1,21,62.63138898
2,21,60.68939452
3,21,60.14406782
4,21,63.0411459
5,21,65.08800443
6,21,67.20292641
7,21,68.36028148
8,21,67.54543639
9,21,65.34611557
10,21,64.89334205
11,21,65.07977843
12,21,68.42022539
13,21,64.59098891
14,21,68.02918377
15,21,66.60963332
16,21,64.89232906
17,21,63.51792244
18,21,64.90053866
19,21,65.32665888
20,21,62.49986575
21,21,62.71317123
22,21,61.63836958
23,21,61.75220305
0,22,59.29297289
1,22,60.22664433
2,22,59.58648143
3,22,59.90861549
4,22,61.05485477
5,22,64.62609546
6,22,67.46543279
7,22,67.26502816
8,22,64.78240001
9,22,66.60345939
10,22,65.5536237
11,22,64.69001387
12,22,66.76236413
13,22,64.65658578
14,22,64.5309331
15,22,63.39972719
16,22,63.52533336
17,22,63.32750802
18,22,62.70413746
19,22,64.6947358
20,22,62.5824032
21,22,61.42462177
22,22,65.22811538
23,22,61.73951416
0,23,60.82296745
1,23,59.8125567
2,23,60.11351366
3,23,59.41096526
4,23,61.0565123
5,23,65.85688645
6,23,66.4217606
7,23,65.54536614
8,23,65.48701007
9,23,69.12121524
10,23,66.15904524
11,23,76.1424592
12,23,63.68833278
13,23,63.83766044
14,23,66.711518
15,23,63.73756686
16,23,69.27397691
17,23,69.25622508
18,23,69.42531863
19,23,68.05862416
20,23,62.27704733
21,23,63.78322048
22,23,62.04186414
23,23,62.65169945
0,24,63.28474044
1,24,67.25650759
2,24,61.95497915
3,24,62.48028582
4,24,63.43257661
5,24,67.07011771
6,24,68.60499463
7,24,69.69460219
8,24,66.85666296
9,24,67.87028886
10,24,68.12110516
11,24,74.89703416
12,24,74.5836055
13,24,66.79526367
14,24,66.20526659
15,24,65.72847984
16,24,65.58172536
17,24,64.66366713
18,24,65.27411434
19,24,63.30099857
20,24,63.19174772
21,24,62.62298511
22,24,63.27854332
23,24,61.95906121
0,25,61.01408473
1,25,61.12910543
2,25,59.56381083
3,25,60.70161697
4,25,60.7110963
5,25,62.32704814
6,25,64.34280155
7,25,64.04150064
8,25,63.37802048
9,25,63.19774397
10,25,68.57673413
11,25,70.04127163
12,25,65.13046895
13,25,66.61173891
14,25,64.6881319
15,25,66.10446189
16,25,68.61158206
17,25,66.08337822
18,25,62.84897534
19,25,63.99296887
20,25,62.08385684
21,25,62.25873043
22,25,62.39724594
23,25,62.39192268
0,26,61.05024978
1,26,60.98924714
2,26,58.50376773
3,26,59.88592588
4,26,58.33248576
5,26,61.26454969
6,26,61.55661696
7,26,61.72568762
8,26,63.71851815
9,26,62.14651968
10,26,61.63754735
11,26,63.40809983
12,26,66.49048042
13,26,71.01705332
14,26,68.83661441
15,26,69.80265039
16,26,67.33829102
17,26,73.15232159
18,26,67.11188672
19,26,68.20916377
20,26,63.69852941
21,26,63.07975552
22,26,62.33084424
23,26,62.05501393
0,27,62.92943671
1,27,60.60292861
2,27,59.53251382
3,27,60.85055748
4,27,62.44241226
5,27,65.73926589
6,27,66.6744026
7,27,66.66956984
8,27,68.20538553
9,27,69.74720611
10,27,66.32508077
11,27,67.17146385
12,27,65.49244864
13,27,64.94560611
14,27,68.81894064
15,27,65.17513217
16,27,64.29241619
17,27,67.65195723
18,27,65.46794425
19,27,67.26938417
20,27,62.76940266
21,27,62.67186069
22,27,64.48122012
23,27,61.39948857
0,28,59.7790979
1,28,61.18858446
2,28,60.61748427
3,28,60.72496863
4,28,61.72104614
5,28,65.5535068
6,28,67.33796367
7,28,71.02506194
8,28,66.98390175
9,28,70.72561499
10,28,72.47051156
11,28,67.23484899
12,28,69.67058511
13,28,65.78927099
14,28,65.39688199
15,28,66.06739922
16,28,64.89455442
17,28,64.1593498
18,28,65.896739
19,28,65.68937174
20,28,63.35259702
21,28,63.08755517
22,28,63.42076716
23,28,62.50488758
0,29,67.593976
1,29,60.74190851
2,29,61.65245825
3,29,61.08973034
