group,variable,value
16:00,10,69.06160962
17:00,10,72.96244125
18:00,10,67.59186239
19:00,10,67.99375949
20:00,10,66.64845417
21:00,10,67.34428618
22:00,10,68.61805346
23:00,10,65.22594889
00:00,11,63.72042335
01:00,11,63.98333194
02:00,11,64.12294728
03:00,11,63.06635838
04:00,11,63.40036769
05:00,11,67.8633627
06:00,11,68.5956637
07:00,11,66.54105871
08:00,11,66.41499412
09:00,11,67.85414866
10:00,11,66.27895499
11:00,11,66.77881758
12:00,11,66.60581135
13:00,11,66.65284826
14:00,11,67.30437734
15:00,11,68.32281217
16:00,11,67.58606691
17:00,11,66.81824319
18:00,11,68.97381361
19:00,11,70.57681092
20:00,11,65.74990289
21:00,11,65.66219469
22:00,11,64.59467585
23:00,11,66.57945108
00:00,12,64.0779076
01:00,12,63.27186085
02:00,12,63.13999391
03:00,12,61.84762735
04:00,12,62.04003415
05:00,12,62.6279849
06:00,12,66.65093807
07:00,12,63.87575234
08:00,12,64.2893127
09:00,12,64.63601224
10:00,12,68.93992667
11:00,12,65.88746318
12:00,12,65.78526308
13:00,12,65.87424566
14:00,12,65.72244789
15:00,12,65.73222342
16:00,12,69.50159586
17:00,12,66.50698976
18:00,12,66.83292162
19:00,12,69.32798132
20:00,12,66.46987952
21:00,12,68.27914617
22:00,12,65.05307196
23:00,12,66.43002592
00:00,13,63.7214454
01:00,13,63.85105296
02:00,13,63.58712671
03:00,13,62.42295484
04:00,13,68.46415521
05:00,13,66.8233588
06:00,13,70.31510952
07:00,13,67.95028992
08:00,13,68.69321189
09:00,13,68.45856489
10:00,13,68.70821747
11:00,13,77.47926591
12:00,13,70.04657479
13:00,13,71.33724431
14:00,13,68.55370849
15:00,13,67.62539606
16:00,13,67.01709738
17:00,13,67.40139708
18:00,13,67.87766629
19:00,13,68.77957587
20:00,13,69.33492693
21:00,13,65.23885905
22:00,13,67.795495
23:00,13,65.84402814
00:00,14,66.78535477
01:00,14,69.36550604
02:00,14,66.09416859
03:00,14,63.47251886
04:00,14,67.62564397
05:00,14,71.8828077
06:00,14,71.10968589
07:00,14,68.18368987
08:00,14,73.56312678
09:00,14,72.39885552
10:00,14,70.48751831
11:00,14,69.56334655
12:00,14,71.29796189
13:00,14,71.29420151
14:00,14,77.39634934
15:00,14,67.57072666
16:00,14,68.73640078
17:00,14,69.20907139
18:00,14,69.7151712
19:00,14,66.40130956
20:00,14,66.33891372
21:00,14,69.09592156
22:00,14,69.64647445
23:00,14,68.85305808
00:00,15,67.58848414
01:00,15,68.49555692
02:00,15,66.16656317
03:00,15,65.86641619
04:00,15,64.92379516
05:00,15,70.56253372
06:00,15,70.44779616
07:00,15,68.79799915
08:00,15,69.53048991
09:00,15,70.70844977
10:00,15,71.95568396
11:00,15,72.71889517
12:00,15,71.34292771
13:00,15,67.76328341
14:00,15,72.84232737
15:00,15,67.21351361
16:00,15,67.33618854
17:00,15,70.62933583
18:00,15,66.91753411
19:00,15,71.54917069
20:00,15,68.36224777
21:00,15,67.00908027
22:00,15,68.58671054
23:00,15,65.31623672
00:00,16,65.06363589
01:00,16,66.40794439
02:00,16,62.76021461
03:00,16,63.70203549
04:00,16,65.29940121
05:00,16,70.60528587
06:00,16,71.87977878
07:00,16,69.20483444
08:00,16,69.6595577
09:00,16,67.7926971
10:00,16,69.80689656
11:00,16,70.09482961
12:00,16,69.2455164
13:00,16,72.11941652
14:00,16,70.84665035
15:00,16,69.2890428
16:00,16,68.78843887
17:00,16,70.4936709
18:00,16,68.9884188
19:00,16,68.93442344
20:00,16,68.99129247
21:00,16,65.51697592
22:00,16,65.1729552
23:00,16,66.35924842
00:00,17,67.29530958
01:00,17,63.52192153
02:00,17,63.80154984
03:00,17,64.81722181
04:00,17,65.5194758
05:00,17,68.9559435
06:00,17,68.28923393
